"match_id","Team_Id","Impact Batting","Avg_Impact_Batting","Toss_Winner","match_winner","TossWin","Win","Impact Bowling","Avg_Impact_Bowling","Impact Fielding","Avg_Impact_Fielding","Avg_PreMatch_Impact_Batting","Avg_PreMatch_Impact_Bowling","Avg_PreMatch_Impact_Fielding","PreMatch_Impact_Batting","PreMatch_Impact_Bowling","PreMatch_Impact_Fielding"
335987,1,50.5,4.59090909090909,2,1,0,1,73.01,6.63727272727273,77,7,6.5,6.5,6.5,0,0,0
335987,2,40,3.63636363636364,2,1,1,0,62.68,5.69818181818182,72,6.54545454545455,6.5,6.5,6.5,0,0,0
335988,3,63,5.72727272727273,3,3,1,1,61.67,5.60636363636364,73,6.63636363636364,6.5,6.5,6.5,0,0,0
335988,4,57.25,5.20454545454545,3,3,0,0,60.99,5.54454545454545,70,6.36363636363636,6.5,6.5,6.5,0,0,0
335989,5,52,4.72727272727273,5,6,1,0,64.34,5.84909090909091,66,6,6.5,6.5,6.5,0,0,0
335989,6,47,4.27272727272727,5,6,0,1,70.33,6.39363636363636,71.5,6.5,6.5,6.5,6.5,0,0,0
335990,2,58.5,5.31818181818182,7,2,0,1,68,6.18181818181818,72.5,6.59090909090909,3.63636363636364,5.69818181818182,6.54545454545455,3.63636363636364,5.69818181818182,6.54545454545455
335990,7,57.5,5.22727272727273,7,2,1,0,66,6,72,6.54545454545455,6.5,6.5,6.5,0,0,0
335991,1,44.75,4.06818181818182,8,1,0,1,73.66,6.69636363636364,81.5,7.40909090909091,4.59090909090909,6.63727272727273,7,4.59090909090909,6.63727272727273,7
335991,8,49.5,4.5,8,1,1,0,74.33,6.75727272727273,72,6.54545454545455,6.5,6.5,6.5,0,0,0
335992,4,60.25,5.47727272727273,4,5,1,0,66.01,6.00090909090909,70,6.36363636363636,5.20454545454545,5.54454545454545,6.36363636363636,5.20454545454545,5.54454545454545,6.36363636363636
335992,5,55.5,5.04545454545455,4,5,0,1,65.65,5.96818181818182,69.5,6.31818181818182,4.72727272727273,5.84909090909091,6,4.72727272727273,5.84909090909091,6
335993,6,46,4.18181818181818,8,6,0,1,70.66,6.42363636363636,75,6.81818181818182,4.27272727272727,6.39363636363636,6.5,4.27272727272727,6.39363636363636,6.5
335993,8,52.5,4.77272727272727,8,6,1,0,61.34,5.57636363636364,68,6.18181818181818,4.5,6.75727272727273,6.54545454545455,4.5,6.75727272727273,6.54545454545455
335994,3,59.25,5.38636363636364,7,3,0,1,66.34,6.03090909090909,74.5,6.77272727272727,5.72727272727273,5.60636363636364,6.63636363636364,5.72727272727273,5.60636363636364,6.63636363636364
335994,7,64,5.81818181818182,7,3,1,0,63.99,5.81727272727273,72,6.54545454545455,5.22727272727273,6,6.54545454545455,5.22727272727273,6,6.54545454545455
335995,5,62,5.63636363636364,5,5,1,1,63.67,5.78818181818182,72.5,6.59090909090909,4.88636363636364,5.90863636363636,6.15909090909091,9.77272727272727,11.8172727272727,12.3181818181818
335995,8,59.75,5.43181818181818,5,5,0,0,62.67,5.69727272727273,74,6.72727272727273,4.63636363636364,6.16681818181818,6.36363636363636,9.27272727272727,12.3336363636364,12.7272727272727
335996,4,58,5.27272727272727,7,4,0,1,72.66,6.60545454545455,73,6.63636363636364,5.34090909090909,5.77272727272727,6.36363636363636,10.6818181818182,11.5454545454545,12.7272727272727
335996,7,54,4.90909090909091,7,4,1,0,66.67,6.06090909090909,78,7.09090909090909,5.52272727272727,5.90863636363636,6.54545454545455,11.0454545454545,11.8172727272727,13.0909090909091
335997,2,52.75,4.79545454545455,5,5,0,0,67,6.09090909090909,71,6.45454545454545,4.47727272727273,5.94,6.56818181818182,8.95454545454546,11.88,13.1363636363636
335997,5,48.75,4.43181818181818,5,5,1,1,71.99,6.54454545454545,77.5,7.04545454545455,5.13636363636364,5.86848484848485,6.3030303030303,15.4090909090909,17.6054545454545,18.9090909090909
335998,1,56.5,5.13636363636364,1,3,1,0,65,5.90909090909091,68,6.18181818181818,4.32954545454546,6.66681818181818,7.20454545454546,8.65909090909091,13.3336363636364,14.4090909090909
335998,3,47.25,4.29545454545455,1,3,0,1,69.66,6.33272727272727,77,7,5.55681818181818,5.81863636363636,6.70454545454546,11.1136363636364,11.6372727272727,13.4090909090909
335999,7,56.5,5.13636363636364,8,8,0,0,57.33,5.21181818181818,66,6,5.31818181818182,5.95939393939394,6.72727272727273,15.9545454545455,17.8781818181818,20.1818181818182
335999,8,45.25,4.11363636363636,8,8,1,1,69.33,6.30272727272727,76,6.90909090909091,4.90151515151515,6.01030303030303,6.48484848484848,14.7045454545455,18.0309090909091,19.4545454545455
336000,4,52.75,4.79545454545455,6,4,0,1,69.34,6.30363636363636,74,6.72727272727273,5.31818181818182,6.05030303030303,6.45454545454545,15.9545454545455,18.1509090909091,19.3636363636364
336000,6,59,5.36363636363636,6,4,1,0,68.33,6.21181818181818,71,6.45454545454545,4.22727272727273,6.40863636363636,6.65909090909091,8.45454545454545,12.8172727272727,13.3181818181818
336001,2,55.75,5.06818181818182,3,3,0,0,64.01,5.81909090909091,71,6.45454545454545,4.58333333333333,5.99030303030303,6.53030303030303,13.75,17.9709090909091,19.5909090909091
336001,3,55.25,5.02272727272727,3,3,1,1,66.32,6.02909090909091,76.5,6.95454545454545,5.13636363636364,5.99,6.8030303030303,15.4090909090909,17.97,20.4090909090909
336002,1,52.75,4.79545454545455,1,7,1,0,69,6.27272727272727,68,6.18181818181818,4.59848484848485,6.41424242424242,6.86363636363636,13.7954545454545,19.2427272727273,20.5909090909091
336002,7,48,4.36363636363636,1,7,0,1,71.33,6.48454545454545,77,7,5.27272727272727,5.7725,6.54545454545455,21.0909090909091,23.09,26.1818181818182
336003,2,59.25,5.38636363636364,2,6,1,0,60.33,5.48454545454545,71,6.45454545454545,4.70454545454546,5.9475,6.51136363636364,18.8181818181818,23.79,26.0454545454545
336003,6,57.75,5.25,2,6,0,1,65.34,5.94,73,6.63636363636364,4.60606060606061,6.3430303030303,6.59090909090909,13.8181818181818,19.0290909090909,19.7727272727273
336004,4,50.75,4.61363636363636,4,4,1,1,67,6.09090909090909,75.5,6.86363636363636,5.1875,6.11363636363636,6.52272727272727,20.75,24.4545454545455,26.0909090909091
336004,8,50.25,4.56818181818182,4,4,0,0,63.66,5.78727272727273,69,6.27272727272727,4.70454545454545,6.08340909090909,6.59090909090909,18.8181818181818,24.3336363636364,26.3636363636364
336005,1,54,4.90909090909091,5,5,0,0,66.34,6.03090909090909,69,6.27272727272727,4.64772727272727,6.37886363636364,6.69318181818182,18.5909090909091,25.5154545454545,26.7727272727273
336005,5,57.5,5.22727272727273,5,5,1,1,69,6.27272727272727,74.5,6.77272727272727,4.96022727272727,6.0375,6.48863636363636,19.8409090909091,24.15,25.9545454545455
